2024-09-25 22:28:09.975 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinlife.com/news/amerikanskie-finansovye-sovetniki-vse-chashhe-investirujut-v-kriptovaljutu/
2024-09-25 22:28:23.508 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/v-chetvyortom-kvartale-bitkoin-podorozhaet-do-72000-uvereny-analitiki/
2024-09-25 22:28:36.158 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-treasure-tapper-25-sentyabrya/
2024-09-25 22:28:36.158 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-treasure-tapper-25-sentyabrya/ not found
2024-09-25 22:28:38.168 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/vitalik-buterin-polozhitelno-otozvalsya-o-celo/
2024-09-25 22:28:52.824 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-holdcoin-25-sentyabrya/
2024-09-25 22:28:52.824 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-holdcoin-25-sentyabrya/ not found
2024-09-25 22:28:54.840 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-bee-harvest-25-sentyabrya/
2024-09-25 22:28:54.840 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-bee-harvest-25-sentyabrya/ not found
2024-09-25 22:28:56.849 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-musk-empire-x-25-sentyabrya/
2024-09-25 22:28:56.849 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-musk-empire-x-25-sentyabrya/ not found
2024-09-25 22:28:58.645 | INFO     | handlers.start:process_start:14 - user Jisierk connected
2024-09-25 22:28:58.857 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://www.rbc.ru/crypto/news/66f3e5e49a794770682c02d6
2024-09-25 22:29:07.816 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/uroven-kapitalizaczii-tokena-mema-popcat-prevysil-1-mlrd/
2024-09-25 22:29:18.532 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-grand-combat-25-sentyabrya/
2024-09-25 22:29:18.532 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-grand-combat-25-sentyabrya/ not found
2024-09-25 22:29:20.532 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/analitiki-stagnatsiya-bitkoina-podoshla-k-kontsu/
2024-09-25 22:29:34.378 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://ihodl.com/topnews/2024-09-25/sec-reaches-settlement-truecoin-and-trusttoken/
2024-09-25 22:29:34.378 | ERROR    | utils.parser:fetch_news:60 - parser for https://ihodl.com/topnews/2024-09-25/sec-reaches-settlement-truecoin-and-trusttoken/ not found
2024-09-25 22:29:36.383 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/charlz-khoskinson-v-efiriume-pravit-diktator-a-v-bitkoine-anarkhisty/
2024-09-25 22:29:47.502 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/sec-nalozhila-shtraf-na-trusttoken-i-truecoin/
2024-09-25 22:30:00.135 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://xrp-buy.ru/novosti/ripple-vypuskaet-krupnejshuju-partiju-svoej-stabilnoj-monety-rlusd-perspektivy-rlusd-i-vlijanie-na-rynok/
2024-09-25 22:30:00.904 | ERROR    | utils.parser:__parse_xrpbuy:232 - [Errno 2] No such file or directory: 'utils/images/%3C/svg%3E'
2024-09-25 22:30:02.914 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-tapcoins-25-sentyabrya/
2024-09-25 22:30:02.914 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-tapcoins-25-sentyabrya/ not found
2024-09-25 22:30:04.922 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://hashtelegraph.com/sec-otkladyvaet-reshenie-po-opcionam-na-ethereum-etf-posle-odobrenija-bitkoin-opcionov/
2024-09-25 22:30:17.101 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://hashtelegraph.com/qcp-capital-predstavila-agressivnye-torgovye-strategii-na-fone-blagoprijatnoj-makrojekonomiki/
